Designator,Footprint,Quantity,Value,LCSC Part #
C1,1206,1,22uF,
C2,1206,1,22uF,
D1,D_SMA,1,MBRA340, C5140034
D2,0805,1,green,
J1,PinHeader_2x06_P2.54mm_Horizontal,1,PMOD,C2911299
J2,PinSocket_2x06_P2.54mm_Horizontal,1,M0S,C5333437
L1,L_6.3x6.3_H3,1,4.7uH,C108287
R1,0805,1,22k,
R2,0805,1,3k,
R3,0805,1,560,
U1,SOT-23-6,1,EA2208,
